pfam_id,pfam_aka
PF17975,Ribonucleotide reductase alpha domain
PF00505,HMG (high mobility group) box
PF06331,Transcription factor TFIIH complex subunit Tfb5
PF07834,RanGAP1 C-terminal domain
PF17886,HSP20-like domain found in ArsA
PF00235,Profilin
PF06297,PET Domain
PF01384,Phosphate transporter family
PF08473,Neuronal voltage-dependent calcium channel alpha 2acd
PF04109,Autophagy protein ATG9
PF07521,Zn-dependent metallo-hydrolase RNA specificity domain
PF16543,DRG Family Regulatory Proteins, Tma46
PF00209,Sodium:neurotransmitter symporter family
PF15754,Sperm equatorial segment protein 1
PF01964,Radical SAM ThiC family
PF04968,CHORD
PF03619,Organic solute transporter Ostalpha
PF06461,CHD subfamily II, SANT-like domain
PF18720,Tenascin EGF domain
PF17538,DNA Binding Domain (C-terminal) Leafy/Floricaula
PF00691,OmpA family
PF00311,Phosphoenolpyruvate carboxylase
PF01614,Bacterial transcriptional regulator
PF15103,G0/G1 switch protein 2
PF13636,RNA-binding PUA-like domain of methyltransferase RsmF
PF02152,Dihydroneopterin aldolase
PF02254,TrkA-N domain
PF09229,Activator of Hsp90 ATPase, N-terminal
PF04166,Pyridoxal phosphate biosynthetic protein PdxA
PF03321,GH3 auxin-responsive promoter
PF02176,TRAF-type zinc finger
PF11635,Mediator complex subunit 16, N-terminal
PF19117,Mitochondrial import 2
PF16414,Niemann-Pick C1 N terminus
PF13097,CENP-A nucleosome associated complex (NAC) subunit
PF12825,Domain of unknown function in PX-proteins (DUF3818)
PF18023,BDBT FKBP like N-terminal
PF04930,FUN14 family
PF00477,Small hydrophilic plant seed protein
PF06968,Biotin and Thiamin Synthesis associated domain
PF17908,APAF-1 helical domain
PF16454,Phosphatidylinositol 3-kinase regulatory subunit P85 inter-SH2 domain
PF00930,Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF18589,Obesity receptor immunoglobulin like domain
PF03765,CRAL/TRIO, N-terminal domain
PF02381,MraZ protein, putative antitoxin-like
PF08574,Transcription factor Iwr1
PF02889,Sec63 Brl domain
PF08277,PAN-like domain
PF09201,SRX, signal recognition particle receptor alpha subunit
PF04295,D-galactarate dehydratase/Altronate hydrolase, second domain
PF00758,Erythropoietin/thrombopoietin
PF18031,Ubiquitin carboxyl-terminal hydrolases
PF01257,Thioredoxin-like [2Fe-2S] ferredoxin
PF14484,Fish-specific NACHT associated domain
PF10304,Required for nuclear transport of RNA pol II C-terminus 2
PF07718,Coatomer beta C-terminal region
PF08442,ATP-grasp domain
PF08436,1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain
PF00514,Armadillo/beta-catenin-like repeat
PF02631,RecX family
PF08387,FBD
PF15787,Neurobeachin/BDCP, DUF4704 alpha solenoid region
PF11608,MARF1, RNA recognition motif 1
PF01730,UreF
PF07525,SOCS box
PF06268,Fascin domain
PF03564,Protein of unknown function (DUF1759)
PF08418,DNA polymerase alpha subunit B N-terminal
PF04689,DNA binding protein S1FA
PF15072,Homologous recombination OB-fold protein
PF03101,FAR1 DNA-binding domain
PF04457,MJ1316 RNA cyclic group end recognition domain
PF07851,TMPIT-like protein
PF00293,NUDIX domain
PF05099,Tellurite resistance protein TerB
PF03480,Bacterial extracellular solute-binding protein, family 7
PF04641,Rtf2 RING-finger
PF00653,Inhibitor of Apoptosis domain
PF01920,Prefoldin subunit
PF15394,Domain of unknown function (DUF4616)
PF18019,Cas3, HD domain
PF14204,Ribosomal L18 C-terminal region
PF10642,Mitochondrial import receptor subunit or translocase
PF09230,DNA fragmentation factor 40 kDa
PF13879,Hemingway/CFA97
PF08839,DNA replication factor CDT1 like
PF03308,Methylmalonyl Co-A mutase-associated GTPase MeaB
PF11022,ATP synthase subunit K
PF04366,Las17-binding protein actin regulator
PF09232,Caenorhabditis elegans Her-1
PF10184,Uncharacterized conserved protein (DUF2358)
PF08229,ER membrane protein SH3
PF17818,Keratinocyte-associated gene product
PF12455,Dynein associated protein
PF07227,PHD - plant homeodomain finger protein
PF09725,Folate-sensitive fragile site protein Fra10Ac1
PF10601,LITAF-like zinc ribbon domain
PF13364,Beta-galactosidase second all-beta domain
PF17176,tRNA-binding domain
PF01245,Ribosomal protein L19
PF12045,Protein of unknown function (DUF3528)
PF04189,Gcd10p family
PF13967,Late exocytosis, associated with Golgi transport
PF09269,Domain of unknown function (DUF1967)
PF14719,Phosphotyrosine interaction domain (PTB/PID)
PF16099,Recq-mediated genome instability protein 1, C-terminal OB-fold
PF01709,TACO1/YebC second and third domain
PF00625,Guanylate kinase
PF00431,CUB domain
PF13724,DNA-binding domain
PF08072,BDHCT (NUC031) domain
PF12297,Ellis van Creveld protein 2 like protein
PF09127,Leukotriene A4 hydrolase, C-terminal
PF03847,Transcription initiation factor TFIID subunit A
PF10557,Cullin protein neddylation domain
PF00635,MSP (Major sperm protein) domain
PF17387,Glycosyl hydrolase family 59 central domain
PF17798,TRIF N-terminal domain
PF16172,DOCK N-terminus
PF06470,SMC proteins Flexible Hinge Domain
PF02787,Carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF12814,Meiotic cell cortex C-terminal pleckstrin homology
PF16667,Unstructured region 10 on multiple PDZ protein
PF15295,Coiled-coil domain-containing protein 50 N-terminus
PF20030,MoxR domain in the MoxR-vWA-beta-propeller ternary systems
PF18772,APOBEC2
PF03020,LEM domain
PF05276,SH3 domain-binding protein 5 (SH3BP5)
PF15808,BCL-6 co-repressor, non-ankyrin-repeat region
PF03222,Tryptophan/tyrosine permease family
PF14144,Seed dormancy control
PF14678,FANCI solenoid 4
PF00686,Starch binding domain
PF01243,Pyridoxamine 5'-phosphate oxidase
PF19321,BTB/POZ domain-containing protein KCTD18 C-terminus
PF10599,Retro-transposon transporting motif
PF12933,FTO catalytic domain
PF05653,Magnesium transporter NIPA
PF04413,3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)
PF06638,Strabismus protein
PF03881,Fructosamine kinase
PF02230,Phospholipase/Carboxylesterase
PF10320,Serpentine type 7TM GPCR chemoreceptor Srsx
PF02045,CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B
PF09751,Nuclear protein Es2
PF15201,Progressive rod-cone degeneration
PF01300,Telomere recombination
PF18267,Rubredoxin NAD+ reductase C-terminal domain
PF13353,4Fe-4S single cluster domain
PF14996,Retinal Maintenance
PF11145,Protein of unknown function (DUF2921)
PF05187,Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S
PF03066,Nucleoplasmin/nucleophosmin domain
PF15396,Protein Family FAM60A
PF15785,Serine/threonine-protein kinase smg-1
PF16195,SUMO-activating enzyme subunit 2 C-terminus
PF18707,Interleukin-2 receptor subunit beta N-terminal domain 1
PF07059,Protein ENHANCED DISEASE RESISTANCE 2, C-terminal
PF05406,WGR domain
PF09369,MrfA Zn-binding domain
PF03089,Recombination activating protein 2
PF07508,Recombinase
PF07137,VDE lipocalin domain
PF01062,Bestrophin, RFP-TM, chloride channel
PF17720,Family of unknown function (DUF5565)
PF00010,Helix-loop-helix DNA-binding domain
PF04455,LOR/SDH bifunctional enzyme conserved region
PF07686,Immunoglobulin V-set domain
PF14226,non-haem dioxygenase in morphine synthesis N-terminal
PF08763,Voltage gated calcium channel IQ domain
PF02536,mTERF
PF07062,Clc-like
PF03934,Type II secretion system (T2SS), protein K
PF01650,Peptidase C13 family
PF16799,C-terminal membrane-localisation domain of ion-channel, VCN1
PF02594,Uncharacterised ACR, YggU family COG1872
PF00145,C-5 cytosine-specific DNA methylase
PF02784,Pyridoxal-dependent decarboxylase, pyridoxal binding domain
PF13520,Amino acid permease
PF05191,Adenylate kinase, active site lid
PF12057,BCL2-associated athanogene 6
PF14745,WASH complex subunit 4, N-terminal
PF20492,Ezrin/radixin/moesin, alpha-helical domain
PF15328,Putative GRINL1B complex locus protein 2
PF13167,GTP-binding GTPase N-terminal
PF01693,Caulimovirus viroplasmin
PF02705,K+ potassium transporter
PF01704,UTP--glucose-1-phosphate uridylyltransferase
PF18076,Formylglycinamide ribonucleotide amidotransferase N-terminal
PF08488,Wall-associated kinase
PF10243,Microtubule-binding protein MIP-T3 CH-like domain
PF02790,Cytochrome C oxidase subunit II, transmembrane domain
PF02738,Molybdopterin cofactor-binding domain
PF04802,Phosphatase 4 regulatory subunit 3
PF18521,Transactivation domain 2
PF14677,FANCI solenoid 3
PF18699,Mitoribosomal protein mL52
PF15831,Small integral membrane protein 5/18/22
PF03613,PTS system mannose/fructose/sorbose family IID component
PF02161,Progesterone receptor
PF00984,UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF04183,IucA / IucC family
PF05186,Dpy-30 motif
PF15489,CST, telomere maintenance, complex subunit CTC1
PF06541,Putative ABC-transporter type IV
PF00252,Ribosomal protein L16p/L10e
PF16516,Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
PF15949,Domain of unknown function (DUF4757)
PF01627,Hpt domain
PF16760,Starch/carbohydrate-binding module (family 53)
PF01726,LexA DNA binding domain
PF13515,Fusaric acid resistance protein-like
PF03997,VPS28 protein
PF15358,Testis-specific serine kinase substrate
PF01201,Ribosomal protein S8e
PF00834,Ribulose-phosphate 3 epimerase family
PF00632,HECT-domain (ubiquitin-transferase)
PF00352,Transcription factor TFIID (or TATA-binding protein, TBP)
PF01264,Chorismate synthase
PF02026,RyR domain
PF02575,YbaB/EbfC DNA-binding family
PF15285,Beclin-1 BH3 domain, Bcl-2-interacting
PF05670,NFACT protein RNA binding domain
PF18791,Transport inhibitor response 1 protein domain
PF08633,Rox3 mediator complex subunit
PF20519,Polycystin domain
PF11471,Maltoporin periplasmic N-terminal extension
PF13385,Concanavalin A-like lectin/glucanases superfamily
PF13302,Acetyltransferase (GNAT) domain
PF13184,NusA-like KH domain
PF10356,Required for respiratory growth protein 7
PF09744,JNK_SAPK-associated protein-1
PF06311,NUMB domain
PF20423,Isocitrate dehydrogenase kinase/phosphatase (AceK), regulatory domain
PF08165,FerA (NUC095) domain
PF01283,Ribosomal protein S26e
PF15163,Meiosis-expressed
PF07910,Peptidase family C78
PF00266,Aminotransferase class-V
PF13426,PAS domain
PF00098,Zinc knuckle
PF16863,404
PF05047,Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
PF12366,Cancer susceptibility candidate 1 C-terminal
PF13493,Domain of unknown function (DUF4118)
PF01682,DB module
PF13012,Maintenance of mitochondrial structure and function
PF13850,Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)
PF00447,HSF-type DNA-binding
PF01497,Periplasmic binding protein
PF03610,PTS system fructose IIA component
PF07663,Sorbitol phosphotransferase enzyme II C-terminus
PF01239,Protein prenyltransferase alpha subunit repeat
PF09742,Dyggve-Melchior-Clausen syndrome protein
PF11109,Orexigenic neuropeptide Qrfp/P518
PF00784,MyTH4 domain
PF05782,Extracellular matrix protein 1 (ECM1)
PF01841,Transglutaminase-like superfamily
PF05011,Lariat debranching enzyme, C-terminal domain
PF10453,FMR1-interacting protein 1 (NUFIP1)
PF11357,Cell cycle regulatory protein
PF09469,Cordon-bleu ubiquitin-like domain
PF04112,Mak10 subunit, NatC N(alpha)-terminal acetyltransferase
PF04096,Nucleoporin autopeptidase
PF15236,Coiled-coil domain-containing protein 66
PF11793,FANCL C-terminal domain
PF03070,TENA/THI-4/PQQC family
PF10590,Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region
PF18517,Leucine zipper with capping helix domain
PF15629,Permuted single zf-CXXC unit
PF10408,Ubiquitin elongating factor core
PF19036,First Longin domain of FUZ, MON1 and HPS1
PF15433,Mitochondrial 28S ribosomal protein S31
PF02441,Flavoprotein
PF13245,AAA domain
PF15048,Organic solute transporter subunit beta protein
PF00515,Tetratricopeptide repeat
PF17209,Hfq protein
PF08241,Methyltransferase domain
PF14622,Ribonuclease-III-like
PF08081,RBM1CTR (NUC064) family
PF17889,NLRC4 helical domain
PF00076,RNA recognition motif
PF16494,C-terminal extension of sodium/calcium exchanger domain
PF04589,RFX1 transcription activation region
PF03968,LptA/(LptD N-terminal domain) LPS transport protein
PF00111,2Fe-2S iron-sulfur cluster binding domain
PF02449,Beta-galactosidase
PF03453,MoeA N-terminal region (domain I and II)
PF00577,Outer membrane usher protein
PF18806,Importin 13 repeat
PF04554,Extensin-like region
PF08674,Acetylcholinesterase tetramerisation domain
PF10961,Selenoprotein SelK_SelG
PF15161,Neuropeptide-like
PF00676,Dehydrogenase E1 component
PF16164,VWA N-terminal
PF16839,Nematode antimicrobial peptide
PF16579,Adenylate sensor of SNF1-like protein kinase
PF01106,NifU-like domain
PF04043,Plant invertase/pectin methylesterase inhibitor
PF02958,Ecdysteroid kinase-like family
PF03822,NAF domain
PF02687,FtsX-like permease family
PF17753,Ig-fold domain
PF15002,ERK and JNK pathways, inhibitor
PF04905,NAB conserved region 2 (NCD2)
PF17284,Spermidine synthase tetramerisation domain
PF01741,Large-conductance mechanosensitive channel, MscL
PF01403,Sema domain
PF11629,C terminal SARAH domain of Mst1
PF12148,Tandem tudor domain within UHRF1
PF05345,Putative Ig domain
PF04423,Rad50 zinc hook motif
PF16026,Mitochondria-eating protein
PF16114,ATP citrate lyase citrate-binding
PF13144,Chaperone for flagella basal body P-ring formation
PF01431,Peptidase family M13
PF09468,Ydr279p protein family (RNase H2 complex component) wHTH domain
PF03725,3' exoribonuclease family, domain 2
PF15065,Lysosomal transcription factor, NCU-G1
PF16540,Arf6-interacting domain of mitotic kinesin-like protein 1
PF04882,Peroxin-3
PF04707,PRELI-like family
PF00708,Acylphosphatase
PF16615,Unstructured region one on RhoGEF 6 and 7
PF06911,Senescence domain
PF13465,Zinc-finger double domain
PF07231,Hs1pro-1 N-terminus
PF03542,Tuberin
PF02326,Plant ATP synthase F0
PF10198,Histone acetyltransferases subunit 3
PF00664,ABC transporter transmembrane region
PF18024,Helix-turn-helix domain
PF14161,Centrosome-associated N terminus
PF05164,Cell division protein ZapA
PF07700,Haem-NO-binding
PF04078,Cell differentiation family, Rcd1-like
PF04187,Haem-binding uptake, Tiki superfamily, ChaN
PF11510,Fanconi Anaemia group E protein FANCE
PF02191,Olfactomedin-like domain
PF09260,Alpha-amylase, domain C
PF11517,Nuclear abundant poly(A) RNA-bind protein 2 (Nab2)
PF08238,Sel1 repeat
PF00870,P53 DNA-binding domain
PF02177,Amyloid A4 N-terminal heparin-binding
PF01208,Uroporphyrinogen decarboxylase (URO-D)
PF14521,Lysine-specific metallo-endopeptidase
PF04049,Anaphase promoting complex subunit 8 / Cdc23
PF10366,Vacuolar sorting protein 39 domain 1
PF15932,Domain of unknown function (DUF4748)
PF07894,FAM83 A-H
PF02358,Trehalose-phosphatase
PF01369,Sec7 domain
PF04131,Putative N-acetylmannosamine-6-phosphate epimerase
PF05729,NACHT domain
PF07647,SAM domain (Sterile alpha motif)
PF14376,Haem-binding domain
PF16576,Barrel-sandwich domain of CusB or HlyD membrane-fusion
PF07557,Shugoshin C terminus
PF00359,Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF15441,RhoGEF 5/35 N-terminal disordered region
PF09743,E3 UFM1-protein ligase 1
PF15330,SHP2-interacting transmembrane adaptor protein, SIT
PF06596,Photosystem II reaction centre X protein (PsbX)
PF13768,von Willebrand factor type A domain
PF20173,RZ type zinc finger domain
PF16617,Intersectin and clathrin adaptor AP2 binding region
PF00618,RasGEF N-terminal motif
PF03760,Late embryogenesis abundant (LEA) group 1
PF17649,Vacuolar protein sorting 38
PF00907,T-box
PF00940,DNA-dependent RNA polymerase
PF09073,BUD22
PF15088,NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial
PF02938,GAD domain
PF08918,PhoQ Sensor
PF11427,Tc3 transposase
PF12298,Eukaryotic mitochondrial regulator protein
PF07593,ASPIC and UnbV
PF19337,BMP and activin membrane-bound inhibitor homolog C-terminus
PF10378,Putative RRM domain
PF00910,RNA helicase
PF12022,COG complex component, COG2, C-terminal
PF12054,Domain of unknown function (DUF3535)
PF10168,Nuclear pore component
PF18569,Thioredoxin-like domain
PF14416,PMR5 N terminal Domain
PF11488,Transcriptional regulatory protein LGE1
PF05507,Microfibril-associated glycoprotein (MAGP)
PF13919,Asx homology domain
PF08463,EcoEI R protein C-terminal
PF08356,EF hand associated
PF03472,Autoinducer binding domain
PF09328,Domain of unknown function (DUF1984)
PF15183,Melanocortin-2 receptor accessory protein family
PF00858,Amiloride-sensitive sodium channel
PF00566,Rab-GTPase-TBC domain
PF09429,WW domain binding protein 11
PF08688,Apx/Shroom domain ASD1
PF00261,Tropomyosin
PF06628,Catalase-related immune-responsive
PF15694,Mediator complex subunit 26 middle domain
PF05349,GATA-type transcription activator, N-terminal
PF03083,Sugar efflux transporter for intercellular exchange
PF20428,Sey1 three-helix bundle domain
PF04155,Ground-like domain
PF03349,Outer membrane protein transport protein (OMPP1/FadL/TodX)
PF20431,E motif
PF00751,DM DNA binding domain
PF16294,RNSP1-SAP18 binding (RSB) motif
PF07923,N1221-like protein
PF03462,PCRF domain
PF04245,37-kD nucleoid-associated bacterial protein
PF15233,Synaptonemal complex central element protein 1
PF04988,A-kinase anchoring protein 95 (AKAP95)
PF01733,Nucleoside transporter
PF15806,Domain of unknown function (DUF4707)
PF03764,Elongation factor G, domain IV
PF12497,Estrogen receptor beta
PF20073,Domain of unknown function (DUF6469)
PF03416,Peptidase family C54
PF05985,Ethanolamine ammonia-lyase light chain (EutC)
PF02142,MGS-like domain
PF16066,Domain of unknown function (DUF4808)
PF14197,Centrosome localisation domain of PPC89
PF18086,Diphosphoinositol pentakisphosphate kinase 2 N-terminal domain
PF03741,Integral membrane protein TerC family
PF12456,Inositol phosphatase
PF14324,PINIT domain
PF14383,DUF761-associated sequence motif
PF13815,Iguana/Dzip1-like DAZ-interacting protein N-terminal
PF09782,NADH:ubiquinone oxidoreductase, NDUFB6/B17 subunit
PF11035,Small nuclear RNA activating complex (SNAPc), subunit 2
PF13270,Coiled-coil domain-containing protein 28
PF09202,Rio2, N-terminal
PF01909,Nucleotidyltransferase domain
PF06371,Diaphanous GTPase-binding Domain
PF06414,Zeta toxin
PF00044,Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF09729,Gti1/Pac2 family
PF01166,TSC-22/dip/bun family
PF05483,Synaptonemal complex protein 1 (SCP-1)
PF16788,ATF-interacting protein binding domain
PF17976,RING/Ubox like zinc-binding domain
PF16860,CHCH-CHCH-like Cx9C, IMS import disulfide relay-system,
PF06232,Embryo-specific protein 3, (ATS3)
PF17987,Phosphoethanolamine N-methyltransferase 2 N-terminal
PF10405,Rad4 beta-hairpin domain 3
PF18044,CCCH-type zinc finger
PF05726,Pirin C-terminal cupin domain
PF17808,Fn3-like domain from Purple Acid Phosphatase
PF18072,Formylglycinamide ribonucleotide amidotransferase linker domain
PF13247,4Fe-4S dicluster domain
PF09756,DDRGK domain
PF08321,PPP5 TPR repeat region
PF02028,BCCT, betaine/carnitine/choline family transporter
PF08683,Microtubule-binding calmodulin-regulated spectrin-associated
PF01111,Cyclin-dependent kinase regulatory subunit
PF17960,TIG domain
PF02428,Potato type II proteinase inhibitor family
PF12937,F-box-like
PF16274,Qua1 domain
PF01712,Deoxynucleoside kinase
PF06493,Protein of unknown function (DUF1096)
PF04564,U-box domain
PF16953,Protein-only RNase P
PF03069,Acetamidase/Formamidase family
PF16418,CCR4-NOT transcription complex subunit 1 HEAT repeat
PF12301,CD99 antigen like protein 2
PF02934,GatB/GatE catalytic domain
PF13696,Zinc knuckle
PF06351,Allene oxide cyclase
PF12167,Arm DNA-binding domain
PF05605,Drought induced 19 protein (Di19), zinc-binding
PF02674,Colicin V production protein
PF00864,ATP P2X receptor
PF14671,Dual specificity protein phosphatase, N-terminal half
PF05625,PAXNEB protein
PF01697,Glycosyltransferase family 92
PF13420,Acetyltransferase (GNAT) domain
PF08507,COPI associated protein
PF01783,Ribosomal L32p protein family
PF08278,DNA primase DnaG DnaB-binding
PF15690,Nuclear receptor-interacting protein 1 repression 4
PF17404,Nrap protein domain 3
PF12765,HEAT repeat associated with sister chromatid cohesion
PF00288,GHMP kinases N terminal domain
PF11654,Non-classical export protein 1
PF02405,Permease MlaE
PF00476,DNA polymerase family A
PF09785,Prp31 C terminal domain
PF04871,Uso1 / p115 like vesicle tethering protein, C terminal region
PF01126,Heme oxygenase
PF13965,dsRNA-gated channel SID-1
PF17969,L,D-transpeptidase C-terminal domain
PF04317,YcjX-like family, DUF463
PF06808,Tripartite ATP-independent periplasmic transporter, DctM component
PF16526,C-terminal leucine zipper domain of cyclic nucleotide-gated channels
PF04558,Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1
PF07517,SecA DEAD-like domain
PF08459,UvrC RNAse H endonuclease domain
PF02274,Arginine deiminase
PF08038,TOM7 family
PF18890,FANCL UBC-like domain 2
PF11605,Vacuolar protein sorting protein 36 Vps36
PF01835,MG2 domain
PF12111,Polyribonucleotide phosphorylase C terminal
PF17405,Nrap protein nucleotidyltransferase domain 4
PF19330,Delta and Notch-like EGF-related receptor C-terminus
PF13412,Winged helix-turn-helix DNA-binding
PF07569,TUP1-like enhancer of split
PF07177,Neuralized
PF11923,NFACT protein C-terminal domain
PF13832,PHD-zinc-finger like domain
PF06396,Angiotensin II, type I receptor-associated protein (AGTRAP)
PF03938,Outer membrane protein (OmpH-like)
PF16704,Rab binding domain
PF20624,DMRT5, DMB domain
PF07876,Stress responsive A/B Barrel Domain
PF02130,Endoribonuclease YbeY
PF01275,Myelin proteolipid protein (PLP or lipophilin)
PF13878,zinc-finger of acetyl-transferase ESCO
PF06832,Penicillin-Binding Protein C-terminus Family
PF03936,Terpene synthase family, metal binding domain
PF15409,Pleckstrin homology domain
PF12947,EGF domain
PF01321,Creatinase/Prolidase N-terminal domain
PF00829,Ribosomal prokaryotic L21 protein
PF05572,Pregnancy-associated plasma protein-A
PF04954,Siderophore-interacting protein
PF01110,Ciliary neurotrophic factor
PF16165,Ferlin C-terminus
PF02148,Zn-finger in ubiquitin-hydrolases and other protein
PF06758,Olduvai domain
PF08638,Mediator complex subunit MED14
PF06653,Tight junction protein, Claudin-like
PF16325,Peptidase family U32 C-terminal domain
PF16092,Cilia- and flagella-associated protein 61, N-terminal domain
PF02096,60Kd inner membrane protein
PF04624,Dec-1 repeat
PF18147,Suv3 C-terminal domain 1
PF01206,Sulfurtransferase TusA
PF05832,Eukaryotic protein of unknown function (DUF846)
PF02251,Proteasome activator pa28 alpha subunit
PF14215,bHLH-MYC and R2R3-MYB transcription factors N-terminal
PF10513,Enhancer of polycomb-like
PF04880,NUDE protein, C-terminal conserved region
PF02833,DHHA2 domain
PF10390,RNA polymerase II elongation factor ELL
PF04622,ERG2 and Sigma1 receptor like protein
PF03509,Gap junction alpha-8 protein (Cx50)
PF10574,Arp2/3-interacting proteins Arpin
PF04384,Iron-sulphur cluster assembly
PF10294,Lysine methyltransferase
PF16637,Putative zinc-finger between two C2H2 zinc-fingers on Patz
PF05493,ATP synthase subunit H
PF09511,RNA ligase
PF15920,N-terminal of Junction-mediating and WASP homolog-associated
PF16878,Transcriptional regulator, SIX1, N-terminal SD domain
PF01095,Pectinesterase
PF00375,Sodium:dicarboxylate symporter family
PF02730,Aldehyde ferredoxin oxidoreductase, N-terminal domain
PF00211,Adenylate and Guanylate cyclase catalytic domain
PF14545,Dof, BCAP, and BANK (DBB) motif,
PF00788,Ras association (RalGDS/AF-6) domain
PF06434,Aconitate hydratase 2 N-terminus
PF14418,OST-HTH Associated domain
PF16013,Domain of unknown function (DUF4781)
PF00647,Elongation factor 1 gamma, conserved domain
PF12923,Ribosomal RNA-processing protein 7 (RRP7) C-terminal domain
PF11764,COMPASS (Complex proteins associated with Set1p) component N
PF16566,Cell-cycle alteration and expression-elevated protein in tumour
PF13934,Nuclear pore complex assembly
PF01467,Cytidylyltransferase-like
PF00787,PX domain
PF02683,Cytochrome C biogenesis protein transmembrane region
PF01408,Oxidoreductase family, NAD-binding Rossmann fold
PF17855,MCM AAA-lid domain
PF18703,MALT1 Ig-like domain
PF14619,Snf2-ATP coupling, chromatin remodelling complex
PF15230,Serine/arginine repetitive matrix protein C-terminus
PF13688,Metallo-peptidase family M12
PF02466,Tim17/Tim22/Tim23/Pmp24 family
PF06978,Ribonucleases P/MRP protein subunit POP1, N-terminal
PF20259,tRNA methyl transferase PRC-barrel domain
PF05022,SRP40, C-terminal domain
PF19221,MELT motif
PF02544,3-oxo-5-alpha-steroid 4-dehydrogenase
PF12548,Sulfatase protein
PF10044,Retinal tissue protein
PF00777,Glycosyltransferase family 29 (sialyltransferase)
PF15120,Sperm acrosome-associated protein 9
PF12075,KN motif
PF07524,Bromodomain associated
PF17722,Intraflagellar transport-associated protein
PF00075,RNase H
PF18253,Hsp70-interacting protein N N-terminal domain
PF00312,Ribosomal protein S15
PF19310,Neurolysin/Thimet oligopeptidase, N-terminal domain
PF15165,Meiotic recombination protein REC114-like
PF01124,MAPEG family
PF04560,RNA polymerase Rpb2, domain 7
PF12689,Acid Phosphatase
PF00549,CoA-ligase
PF08084,PROCT (NUC072) domain
PF17963,Bacterial Ig domain
PF07107,Wound-induced protein WI12
PF02335,Cytochrome c552
PF15310,Vitamin A-deficiency (VAD) rat model signalling
PF00611,Fes/CIP4, and EFC/F-BAR homology domain
PF14008,Iron/zinc purple acid phosphatase-like protein C
PF04053,Coatomer WD associated region
PF02104,SURF1 family
PF02815,MIR domain
PF02580,D-Tyr-tRNA(Tyr) deacylase
PF01855,Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg
PF12125,D domain of beta-TrCP
PF13793,N-terminal domain of ribose phosphate pyrophosphokinase
PF00880,Nebulin repeat
PF13896,Glycosyl-transferase for dystroglycan
PF01099,Uteroglobin family
PF15670,Spermatid maturation protein 1
PF03729,Short repeat of unknown function (DUF308)
PF04432,Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus
PF02245,Methylpurine-DNA glycosylase (MPG)
PF04107,Glutamate-cysteine ligase family 2(GCS2)
PF18595,Nuf2, DHR10-like domain
PF03931,Skp1 family, tetramerisation domain
PF02733,Dak1 domain
PF00562,RNA polymerase Rpb2, domain 6
PF08799,pre-mRNA processing factor 4 (PRP4) like
PF04527,Drosophila Retinin like protein
PF10334,Aromatic acid exporter family member 2
PF17146,PIN domain of ribonuclease
PF19533,Rab3 GTPase-activating protein catalytic subunit C-terminal
PF15898,cGMP-dependent protein kinase interacting domain
PF01130,CD36 family
PF03313,Serine dehydratase alpha chain
PF12384,Ty3 transposon peptidase
PF15404,Pleckstrin homology domain
PF13807,G-rich domain on putative tyrosine kinase
PF10444,Nbl1 / Borealin N terminal
PF15993,Fuseless
PF18412,Outer-membrane lipoprotein Wza C-terminal domain
PF02732,ERCC4 domain
PF13193,AMP-binding enzyme C-terminal domain
PF12777,Microtubule-binding stalk of dynein motor
PF05641,Agenet domain
PF05007,Mannosyltransferase (PIG-M)
PF12036,Protein of unknown function (DUF3522)
PF16183,Kinesin-associated
PF13863,Domain of unknown function (DUF4200)
PF08569,Mo25-like
PF09726,Macoilin family
PF08831,Class II MHC-associated invariant chain trimerisation domain
PF04859,Plant protein of unknown function (DUF641)
PF04847,Calcipressin
PF05002,SGS domain
PF15001,AP-5 complex subunit sigma-1
PF10521,Tti2 family
PF14934,Transmembrane protein 254
PF08083,PROCN (NUC071) domain
PF01108,Tissue factor
PF18091,E3 Ubiquitin Ligase RBR C-terminal domain
PF06068,TIP49 P-loop domain
PF04037,Domain of unknown function (DUF382)
PF08039,Mitochondrial proteolipid
PF01279,Parathyroid hormone family
PF00862,Sucrose synthase
PF06472,ABC transporter transmembrane region 2
PF10442,FIST C domain
PF07222,Proacrosin binding protein sp32
PF06784,Uncharacterised protein family (UPF0240)
PF02186,TFIIE beta subunit core domain
PF09470,Telethonin protein
